"","1988","1994","1996","1998","2000","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aegiphila truncata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Aequatorium latibracteolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA
"Aequatorium verrucosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Agalychnis danieli",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA
"Agalychnis psilopygion",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Agalychnis terranova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA
"Agave cundinamarcensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA
"Ageratina ampla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA
"Ageratina asclepiadea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA
"Ageratina gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA
"Ageratina latipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA
"Aiouea angulata",NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA
"Aiouea lehmannii",NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA
"Aiphanes duquei",NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA
"Aiphanes gelatinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN"
"Aiphanes leiostachys",NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiphanes linearis",NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Aiphanes pilaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA
"Akodon affinis",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alibertia patinoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Allobates ignotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA
"Allobates juanii",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA
"Allobates niputidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Allobates ranoides",NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,"CR","CR",NA,NA,NA,NA,NA
"Allobates wayuu",NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA
"Allomaieta hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA
"Allomaieta pancurana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Allomaieta strigosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA
"Allomaieta villosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA
"Allophoron farinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA
"Allophylus goudotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA
"Ameerega ingeri",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocera albertiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA
"Ampelozizyphus kuripacorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA
"Anablepsoides taeniatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anablepsoides tessellatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA
"Ancistrus caucanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ancistrus centrolepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA
"Ancistrus tolima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andinoacara biseriatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andinoacara latifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates altobueyensis",NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates bombetes",NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates cassidyhornae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates daleswansoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates dorisswansonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates opisthomelas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates tolimensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,"EN",NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates victimatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA
"Andinobates viridis",NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA
"Andinobates virolinensis",NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA
"Andira chigorodensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Anguloa cliftonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA
"Anguloa dubia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR"
"Aniba novogranatensis",NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA
"Aniba vaupesiana",NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Anisognathus melanogenys","LC","LC",NA,NA,"LC",NA,NA,"LC",NA,NA,NA,"LC","LC",NA,NA,"LC",NA,NA,NA,"LC","LC",NA,NA,NA,NA,NA,NA,NA,"LC"
"Annona cercocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA
"Annona ionophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA
"Annona neoamazonica",NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA
"Annona pachyantha",NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA
"Annona rufinervis",NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA
"Anoura cadenai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA
"Anthocephala berlepschi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","VU",NA,NA,NA,NA,NA
"Anthocephala floriceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA
"Anthodiscus montanus",NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA
"Anthurium barbacoasense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthurium bogotense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Anthurium debilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthurium glaucospadix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Anthurium hodgei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Anthurium hygrophilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Anthurium macarenense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA
"Anthurium magnificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA
"Anthurium promininerve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthurium splendidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aotus brumbacki",NA,"VU","VU",NA,"VU",NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA
"Aotus griseimembra",NA,"VU","EN",NA,"EN",NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,"VU",NA,NA,NA,NA
"Aotus jorgehernandezi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD",NA,NA,NA,NA
"Aphelandra mildbraediana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Aphelandra pharangophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA
"Aphelandra porphyrocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA
"Aphelandra taborensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA
"Apistogramma alacrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA
"Apistogramma iniridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA
"Apistogramma lineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA
"Apistogramma macmasteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA
"Apteronotus eschmeyeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apteronotus galvisi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA
"Apteronotus jurubidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apteronotus macrostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA
"Apteronotus magdalenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apteronotus mariae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apteronotus milesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apteronotus spurrellii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aptychopsis pycnodonta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA
"Arachnothryx caucana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA
"Arachnothryx colombiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Arachnothryx discolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA
"Arachnothryx educta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA
"Arachnothryx euryphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA
"Arachnothryx guettardioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA
"Arachnothryx reflexa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Arachnothryx spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Aragoa abietina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA
"Aragoa abscondita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA
"Aragoa cleefii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA
"Aragoa corrugatifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA
"Aragoa cundinamarcensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA
"Aragoa cupressina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA
"Aragoa dugandii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA
"Aragoa hammenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"Aragoa kogiorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA
"Aragoa lycopodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA
"Aragoa occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA
"Aragoa parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"Aragoa perez-arbelaeziana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA
"Aragoa picachensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"Ardisia anchicayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Ardisia cabrerae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
"Ardisia cardenasii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA
